dr12objid,RA,DEC,redShift,nuv_mag,j,jIvar,h,hIvar,k,kIvar,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,nearest_galexid,petromag_r,petror90_r
1237661360760946765,201.4429,45.54001,0.008807054,19.710711479186998,16.627,31.91931,15.944,29.21841,15.014,0.0,17.86316,16.7097,16.32066,16.12889,15.997,3867468516731917702,16.67861,10.51462
1237661362372149253,203.7149,46.54448,0.008959835,19.248099644978833,15.865,113.1734,15.503,49.59333,14.982,52.50998,17.5816,16.44976,16.03386,15.81857,15.66196,3868664785382942921,16.25142,8.400765
1237665534929535162,236.4355,20.5604,0.006963884,15.5724925994873,16.191,19.23669,15.607,14.02741,14.233,0.0,15.32395,14.17155,13.58183,13.31619,13.184,6375665654312207581,13.55991,43.96245
1237661068725387382,182.7823,14.27481,0.003951398,19.20360660552975,14.904,0.0,14.093,0.0,14.988,32.65306,16.53054,15.04658,14.41745,14.16814,13.90911,3220779757739186950,14.4323,21.79719
1237664880488480818,145.8794,31.97698,0.005438452,18.085208892822234,13.626,657.4622,13.107,657.4622,12.901,434.0278,15.38555,13.98406,13.40854,13.10657,12.88403,2485848593348434559,13.60718,24.57817
1237658302207033437,168.2272,57.98751,0.007310014,18.83573150634763,15.611,82.64463,15.105,39.5554,14.942,46.91312,16.79871,15.60849,15.04858,14.84918,14.61763,2595905309443630667,15.29128,18.07594
1237662224614883583,215.0077,35.65447,0.01199771,17.693338394165,16.045,49.59333,15.443,43.85773,14.826,61.03515,16.7329,15.73002,15.28738,15.06741,14.8982,6379289637121166498,15.27132,18.47352
1237668585971318837,172.6092,17.33243,0.003927699,18.583776473999,16.168,51.75716,15.588,38.10395,14.365,0.0,16.68735,15.69178,15.21316,15.03831,14.9295,6379043444227048110,15.47188,17.58688
1237666407918272519,28.99898,-0.1855673,0.01213528,18.602067947387702,16.177,61.03515,15.8,34.60207,15.424,18.74028,17.88413,16.98179,16.6505,16.51989,16.39161,3241327431039065123,16.52776,6.859198
1237658628621926519,187.8456,11.49238,0.004182466,16.91669883728028,16.196,26.5703,14.492,0.0,15.316,20.10899,16.16124,15.31442,14.9605,14.78733,14.65389,2499570498463079141,14.92821,15.28743
1237661417674899524,210.2581,54.932,0.005859446,21.490795135498033,16.556,49.59333,14.999,0.0,15.11,0.0,18.77835,17.32993,16.70667,16.3778,16.1899,3211913295771475218,16.60542,8.736556
1237662306187214893,208.4178,39.72426,0.007457499,18.13982810974122,15.579,156.25,15.058,96.11687,14.909,78.31467,16.68676,15.66454,15.1836,14.97636,14.8465,2491970674089787671,15.41462,13.62983
1237662300821192718,204.0051,49.96084,0.005390732,16.77001667022705,13.29,0.0,12.491,0.0,12.477,229.5684,15.5585,14.13453,13.41483,13.01434,12.72158,3230983225644946382,13.20938,41.10575
1237671264958349432,192.0568,-3.332715,0.003757023,13.507280667622899,13.45,31.91931,12.86,22.46131,12.254,60.09255,16.79193,16.13786,16.06627,15.8615,15.85878,2414987267961529504,16.12989,1.420802
1237658205041328180,160.5593,47.76678,0.005097002,17.066930770874052,15.251,138.4083,14.112,0.0,14.014,0.0,15.82722,15.02654,14.72903,14.64478,14.54336,3807795821467933700,14.96531,13.36317
1237668494708178979,176.118,16.55811,0.01104137,18.097562789917,12.06,771.605,11.279,657.4622,11.22,516.5289,14.90484,13.03582,12.20985,11.80201,11.51255,6378867492299736815,12.36982,30.79335
1237667444581662787,184.9854,28.55534,0.008578404,17.141218185424798,16.073,65.03642,15.496,27.12674,15.553,31.56167,16.92628,16.33271,16.17283,16.17114,16.05848,3229294375784687266,16.06908,7.343954
1237661812274036810,183.1347,12.12381,0.007372279,15.407140731811499,15.156,50.29928,14.544,47.56243,14.373,61.03515,14.84,13.43084,12.82678,12.53388,12.34649,3221026048343803960,12.76739,54.47646
1237674473828646936,174.143,59.42722,0.01053474,18.4342651367188,15.479,187.6525,14.717,145.159,14.425,96.11687,17.44028,16.37183,15.89404,15.70812,15.51834,6374399034096880456,15.86996,5.863957
1237661386530881725,212.2911,53.82131,0.006849588,17.257026672363303,14.979,0.0,14.92,71.81844,14.075,0.0,16.36353,15.14713,14.61694,14.33012,14.16488,2607234677256241064,14.67311,17.22092
1237655370366779513,208.539,60.67805,0.01013536,17.9350757598877,12.607,416.4931,12.049,204.0816,11.877,330.5785,15.4523,13.62134,12.84218,12.44749,12.13958,6374469385661189525,12.85485,30.82984
1237658310795591687,193.6815,58.77642,0.008409047,16.3168430328369,14.359,123.4568,12.999,0.0,13.101,182.615,15.53271,14.5131,13.91969,13.63063,13.35553,3074201663415784939,13.75047,25.76776
1237661418748575772,210.5492,55.81403,0.005989655,16.28199768066408,12.839,192.9013,12.198,168.6625,11.616,692.5208,14.58176,12.88557,12.06462,11.63586,11.30903,3070929516811525185,11.89115,57.81903
1237665440978436156,193.6692,28.93867,0.008310425,14.3497898578644,12.713,173.1302,12.055,113.1734,11.819,135.2082,14.18815,13.38299,12.61783,12.27715,11.74676,3053935465094721181,12.532,27.4671
1237667323791736878,179.4641,27.86868,0.01118572,18.646720886230465,13.186,540.8328,12.584,384.4675,12.086,657.4622,16.25735,14.64576,13.85728,13.43763,13.13746,3083103309556352895,13.94931,13.73942
1237667783367393289,174.452,22.69129,0.01184617,18.120815277099602,12.894,0.0,12.683,251.9526,11.962,0.0,15.71503,13.87178,13.0836,12.67105,12.39171,3051965140257741244,13.02428,27.69852
1237662305116160069,215.6197,37.1222,0.01060561,17.826753616333,12.699,1189.061,12.042,865.0519,11.834,1040.583,15.72856,13.99132,13.21006,12.81433,12.55844,3116352541180303497,13.2247,23.8467
1237665024900726838,172.9359,34.33341,0.006244253,15.9655408859253,15.566,120.7584,14.988,65.03642,14.018,0.0,15.47657,14.36509,14.09496,13.92196,13.73016,6374645397715945732,14.46253,27.56802
1237665127999078404,163.0953,32.63735,0.005110485,17.2929439544678,15.787,164.3655,15.274,85.73388,15.175,57.3921,16.29434,15.5949,15.27554,15.21516,15.08398,6374082440246332876,15.49254,12.76357
1237668296592523380,182.6543,18.82874,0.008149253,16.42873668670655,15.003,0.0,15.438,24.75186,13.993,0.0,16.0777,14.9786,14.4367,14.20329,14.04247,3058755724070888335,14.18564,44.3667
1237668496310992914,157.4554,16.18091,0.01089102,17.0770225524902,15.503,138.4083,14.99,70.61648,14.881,68.30135,16.03151,15.32816,15.0495,14.98902,14.88852,6382632231926501725,15.29797,11.42148
1237655369286811692,178.9115,61.77774,0.006503428,18.25005626678465,15.914,104.1233,15.421,48.22532,14.527,0.0,17.08339,16.30852,15.95918,15.83496,15.68183,3816310439513425933,16.19239,7.597271
1237661069251510395,157.4449,13.01817,0.009791647,16.705540974934898,14.841,0.0,14.128,0.0,14.987,36.28974,15.9893,14.61655,14.05638,13.7949,13.59523,3126133796620998583,14.0715,29.11682
1237668298203267092,182.9906,20.02787,0.008001816,16.86443901062013,15.248,50.29928,14.771,33.80205,14.442,56.53231,16.14372,15.09652,14.66689,14.48462,14.30351,3061500105093808989,14.58166,14.95031
1237658629158142040,186.3103,11.84961,0.008137059,18.82558345794675,15.075,0.0,15.667,12.14049,14.062,0.0,16.61817,15.05976,14.44501,14.11038,13.95124,6378902707810339660,14.48922,27.09019
1237661971722141706,184.282,7.624397,0.007589578,17.64996337890625,12.186,70.61648,11.262,129.1322,10.775,192.9013,14.51438,12.67779,11.74833,11.3032,10.92617,3070753594953181756,11.86144,32.4154
1237661811732054029,171.1086,11.34221,0.003544266,14.638499259948698,13.405,98.0296,12.931,58.27167,12.504,82.64463,14.29924,12.84646,12.11576,11.73886,11.50035,3228555503970815189,12.08761,41.85168
1237661958297354297,210.6921,49.1738,0.006287217,15.8701203664144,15.31,0.0,15.64,24.02922,14.214,0.0,15.56288,13.75633,13.0767,12.63321,12.68876,3070894332441533604,13.39524,33.42226
1237661873467359356,154.0652,41.16638,0.001726261,17.7150936126709,15.467,102.0304,14.177,0.0,13.903,0.0,16.28662,15.18341,14.65818,14.36713,14.24858,3805016256072916390,14.62188,19.25531
1237661811734347832,176.5169,11.58131,0.009875519,17.4498958587646,15.08,74.31629,14.469,46.91312,14.229,76.94675,16.0589,15.22493,14.76843,14.60301,14.41914,6379078612493010715,14.98037,10.31369
1237661812275740750,187.0359,12.09329,0.006410731,19.022655010223403,14.853,46.91312,14.093,32.28306,13.984,33.02946,15.54173,13.84355,13.10782,12.74932,12.4697,2499429760974720380,13.32861,48.53918
1237661059574464562,50.17575,41.40398,0.01249487,21.650998687744142,13.675,566.8934,12.922,297.2652,12.758,472.5898,17.71486,15.74996,14.67404,14.16866,13.92732,2483596793532648683,14.77598,12.43666
1237662684142239801,206.2931,35.21905,0.01263611,16.777997016906752,15.124,108.5069,13.7,0.0,13.423,0.0,16.10091,14.74046,14.13669,13.856,13.53236,3869368472824712404,13.95123,25.32314
1237668494708178980,176.0964,16.55127,0.01290514,20.0105514526367,14.248,416.4931,13.63,268.745,13.517,277.7778,17.13591,15.41046,14.68439,14.32628,14.08057,6378867492299736419,14.83757,10.02753
1237658205048799240,186.3683,50.32885,0.008356217,18.1712379455566,15.87,82.64463,15.42,47.56243,14.883,73.05136,17.13028,16.23545,15.85723,15.71995,15.62686,6374539789838844675,15.99456,8.65037
1237662236392947770,185.5237,9.043628,0.003520273,16.9034786224365,14.029,27.12674,13.189,23.5649,12.518,71.81844,14.72258,13.04037,12.14281,11.66838,11.35407,3190415644427301706,11.80224,62.67725
1237664092359229635,123.9085,21.26034,0.01159495,18.8493499755859,16.388,94.25959,15.8,45.65376,15.653,29.86055,18.12761,17.32001,17.06505,16.9423,16.79279,6377776749923534047,16.97467,5.349651
1237655448734597265,179.9617,63.42631,0.004454833,18.8063907623291,16.336,46.27701,15.802,23.1139,15.085,26.84636,17.86752,16.72036,16.25868,16.00923,15.87033,3859059451601356675,16.27412,10.27158
1237661354316464152,178.6403,58.36704,0.011062,16.743920008341465,13.133,96.11687,12.48,106.2812,12.115,141.7234,15.67948,13.64611,12.8047,12.37811,12.01776,3815817858304190237,12.71294,27.81676
1237657628987555963,167.402,50.92672,0.00298183,17.18330669403075,16.756,21.23638,15.108,0.0,14.756,0.0,16.66129,15.59173,15.1816,14.95273,14.79618,3810927230583836009,15.07788,21.73823
1237671267108913220,190.7347,3.676574,0.003237644,18.639553451538056,14.377,50.29928,13.769,29.21841,13.323,87.34387,16.11942,14.37192,13.6481,13.27823,13.05263,2427125876533501711,13.62588,22.44534
1237674648854331588,178.5487,-1.131764,0.01095892,17.8390007019043,16.249,24.5074,14.571,0.0,14.408,0.0,18.21743,17.52698,17.22158,17.05087,16.96326,2413650261822152872,16.9975,9.533875
1237658203441725500,198.527,48.15617,0.008425674,16.81466388702395,15.844,42.16563,14.256,0.0,14.025,0.0,16.07614,15.07199,14.62557,14.42151,14.28049,6374575009644413657,14.64023,17.88851
1237664668422176782,124.4865,22.43542,0.007019133,17.3785457611084,15.903,57.3921,14.335,0.0,14.068,0.0,16.32827,15.32491,14.91769,14.74485,14.58465,3718427516364396837,14.94031,17.20453
