,objID,ra,dec,type,petromag_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,redShift,redshiftUncertainty,redShiftWarning,redShiftWarningText,petror90_r
4928,1237667107962421315,124.01473,16.900996,3,16.90639,17.52678,16.90662,16.65774,16.66873,16.62371,0.00950086,6.011391e-06,0,OK,6.039704
4929,1237667107963667261,126.73547,18.104461,3,21.06058,23.51857,22.85218,21.15302,19.92198,19.32169,0.001069463,8.745447e-05,0,OK,2.587704
4930,1237667111183253827,136.34145,21.622752,3,16.04688,17.63264,16.46528,15.99726,15.81776,15.63937,0.01021532,3.454672e-05,0,OK,17.21822
4931,1237667111183646871,137.21897,21.924926,3,16.43663,17.73635,16.81419,16.40774,16.21124,16.06687,0.01284088,5.547594e-06,0,OK,6.460505
4932,1237667111719993553,135.84712,21.890194,3,17.76744,19.17979,18.25985,17.85177,17.67744,17.46767,0.0105945,5.329392e-06,0,OK,6.480719
4933,1237667111720058905,135.94266,21.860967,3,16.21816,17.48425,16.53874,16.26296,16.10283,16.01072,0.009568485,5.213379e-06,0,OK,12.73446
4934,1237667111720058969,135.99882,21.906569,3,13.2403,15.81883,13.99212,13.20473,12.80278,12.55533,0.01048811,5.776984e-06,0,OK,17.54873
4935,1237667111720059021,136.0019,21.967621,3,12.96196,14.97373,13.86812,13.01373,12.68026,12.46752,0.01034039,7.624309e-06,0,OK,31.05613
4936,1237667112256471251,134.76884,21.926929,3,17.32318,18.69535,17.60728,17.31924,17.16646,17.02468,0.00975355,1.711142e-05,0,OK,7.386148
4937,1237667113335848980,147.5707,27.304873,3,19.56202,20.65455,19.62538,19.43572,19.34103,19.56866,0.004761158,4.36867e-06,0,OK,1.508809
4938,1237667113338798241,154.86885,29.383995,3,17.08959,18.33719,17.25534,17.06758,17.02657,16.76284,0.002913313,1.679913e-05,0,OK,11.23937
4939,1237667113874423848,151.57565,28.944987,3,13.87905,15.30607,14.40076,13.99018,13.85303,13.74923,0.004539058,5.480963e-06,0,OK,20.65423
4940,1237667143402127493,135.52575,23.3871,3,14.02693,15.50444,14.48413,14.02371,13.78137,13.64157,0.01046809,8.698393e-06,0,OK,26.29086
4941,1237667143934607646,125.69273,19.374768,3,17.71496,18.69069,17.93668,17.69423,17.62454,17.43828,0.00678295,5.973522e-06,0,OK,5.879169
4942,1237667209973727402,138.25535,20.365276,3,14.4427,16.3751,14.94331,14.42634,14.23357,14.13701,0.008781297,1.396163e-05,0,OK,25.77079
4943,1237667209973727494,138.27868,20.367965,3,17.37112,18.62695,17.71512,17.37379,17.24277,17.14892,0.008523978,5.774461e-06,0,OK,12.10389
4944,1237667209980870789,155.23677,25.366794,3,17.02416,17.94872,17.15814,17.16591,17.03697,19.33443,0.004361056,8.112363e-06,0,OK,16.08506
4945,1237667209982378067,158.92518,26.125839,3,14.354,15.77878,14.85677,14.45683,14.2508,14.09436,0.004654652,8.294091e-06,0,OK,15.78574
4946,1237667209984999510,165.44083,27.27999,3,19.84688,18.74219,20.39863,19.10337,25.82437,24.75179,0.008330719,1.030206e-05,0,OK,5.234959
4947,1237667209987293325,171.26669,28.15991,3,17.71295,18.41248,17.61642,17.46363,17.58421,17.58618,0.005316419,4.87516e-06,0,OK,4.476413
4948,1237667209988735051,175.10362,28.373974,3,14.03528,15.6251,14.58492,14.10007,13.86843,13.70956,0.006098988,1.385139e-05,0,OK,13.28542
4949,1237667209991159899,181.30323,28.781887,3,14.20735,16.15911,14.80428,14.23869,13.95042,13.81474,0.01051833,1.974821e-05,0,OK,33.09749
4950,1237667209991815283,183.10141,28.817105,3,13.94183,15.84683,14.67085,14.01052,13.66664,13.38467,0.01297188,9.295384e-06,0,OK,15.61104
4951,1237667209991880781,183.30772,28.835881,3,14.4683,16.37586,15.00793,14.46299,14.14396,13.93183,0.01269425,1.588193e-05,0,OK,17.74769
4952,1237667209992273964,184.26433,28.913695,3,15.8673,18.17416,16.39767,15.80916,15.52077,15.40073,0.002950728,5.284267e-05,0,OK,20.64583
4953,1237667209992863810,185.80831,28.893759,3,18.96367,21.06919,19.56036,18.83958,18.51944,18.27044,0.001929293,1.163179e-05,0,OK,1.730587
4954,1237667210520953191,163.07636,27.387278,3,16.80363,18.82215,17.31695,16.84985,16.93887,16.74414,0.005598367,3.635792e-05,0,OK,17.12283
4955,1237667210522132486,165.99931,27.937816,3,17.88585,19.41868,18.19739,17.80619,17.67566,17.43787,0.004750722,9.674129e-06,0,OK,11.00434
4956,1237667210522394751,166.78212,28.056569,3,16.92238,18.07302,17.20582,16.85691,16.72068,16.812,0.004972363,5.18596e-06,0,OK,15.6474
4957,1237667210524885199,173.23365,28.684014,3,17.20896,18.43704,17.51015,17.23537,17.08552,17.04287,0.01188581,4.276932e-06,0,OK,6.087428
4958,1237667210527441112,179.74626,29.193281,3,16.11211,17.78635,16.53872,16.07642,15.8281,15.89789,0.01157506,2.776887e-05,0,OK,22.10384
4959,1237667210527768738,180.63336,29.243864,3,16.51272,17.86688,16.23569,15.9733,15.80815,15.87852,0.01144979,1.103904e-05,0,OK,20.53941
