dr12objid,RA,DEC,j,jIvar,h,hIvar,k,kIvar
1237668332570738777,233.8467,12.0476,13.451,168.6625,12.833,164.3655,12.567,113.1734
1237668348136915028,217.0768,13.78023,15.85,65.03642,14.215,0,14.022,0
1237668349754671219,233.7439,11.75029,12.569,287.2738,11.968,229.5684,11.577,318.8775
1237665566079516953,236.2908,16.2504,16.827,43.28255,15.443,0,15.214,0
1237667324329132076,180.7964,28.31077,16.52,74.31629,16.013,40.05768,14.927,0
1237667324329328714,181.3473,28.36581,15.532,141.7234,14.988,120.7584,15.122,35.01278
1237667733959540891,154.8909,18.67146,15.818,0,15.86,37.63785,14.656,0
1237666338115879005,18.03231,-1.000686,16.113,71.81844,15.637,21.43347,15.453,29.53686
1237666338116206712,18.87684,-0.8609464,14.315,0,15.039,19.06905,14.526,33.02946
1237668366385742044,235.0659,14.80835,16.737,25.25189,15.205,0,15.347,0
1237667735578214514,174.0638,22.43265,14.615,45.65376,13.912,34.19855,13.571,70.61648
1237667917027999851,177.811,21.00184,14.004,416.4931,13.348,260.1457,13.14,244.1406
1237667783900594338,165.4626,22.34453,15.744,41.62331,15.403,19.92985,14.074,0
1237667430632063050,143.74,21.70527,13.021,297.2652,12.406,287.2738,12.147,113.1734
1237671262281269409,153.6191,15.90293,15.728,61.03515,15.301,31.91931,15.034,24.5074
1237667911125106693,172.3705,24.09342,14.502,148.721,14.02,88.99964,13.667,123.4568
1237667444044791815,184.849,28.30995,14.062,48.22532,13.54,32.28306,12.989,74.31629
1237668350291476692,233.6122,12.27019,14.652,0,15,42.16563,13.805,0
1237668348136259649,215.5446,13.91806,12.741,355.9986,12.356,152.4158,12.095,173.1302
1237667735033544865,155.3223,19.65178,15.331,75.61436,14.573,59.1716,14.465,59.1716
1237667914883858449,185.8743,19.42693,14.436,118.1474,13.762,96.11687,13.575,138.4083
1237668494707458181,174.4044,16.55622,15.366,0,15.928,13.03288,14.54,0
1237667917031407630,186.0924,21.15999,15.382,0,15.651,32.28306,15.426,28.90508
1237667539083002063,154.4154,22.81003,14.238,222.7667,13.622,156.25,13.376,152.4158
1237667539083002064,154.4155,22.80676,15.961,71.81844,14.163,0,13.91,0
1237668289617592430,148.2798,16.67769,14.26,51.02041,13.599,42.16563,13.213,79.71938
1237668289617920079,149.0799,16.83119,13.471,58.27167,12.974,41.09138,12.397,87.34387
1237668293375426675,175.1095,19.41412,16.649,28.59676,15.035,0,14.563,0
1237671122693193777,149.651,13.25528,14.749,67.18624,14.242,43.28255,13.947,71.81844
1237667910602195125,207.3066,22.5899,16.359,48.90215,15.548,0,14.581,0
1237668299285200955,202.969,20.00106,15.679,16,13.663,0,13.471,0
1237668350282367039,212.602,16.11252,15.327,67.18624,14.627,50.29928,14.451,65.03642
1237665367971069966,170.1919,31.18305,15.193,229.5684,14.657,123.4568,14.505,118.1474
1237668349758996672,243.5663,9.537189,14.136,54.86968,13.403,37.63785,12.97,90.70295
1237667429571887171,177.3484,26.74157,15.557,25.5076,15.094,19.40655,13.55,0
1237667735042654281,177.4584,22.21453,16.093,88.99964,15.672,53.27935,14.634,0
1237667212129665174,158.0718,27.6688,15.321,87.34387,14.749,57.3921,14.691,35.85643
1237667781738561836,131.6665,13.21369,14.473,78.31467,13.687,55.69168,13.74,67.18624
1237671751364247616,181.4569,67.25211,14.995,148.721,14.469,76.94675,14.268,85.73388
1237671751364247668,181.7983,67.23521,15.886,66.09822,14.613,0,15.202,27.12674
1237667446732161082,190.7745,24.45108,16.19,60.09255,15.704,30.5241,14.705,0
1237668288014254203,165.6969,17.98934,13.629,251.9526,12.791,198.3733,12.639,168.6625
1237668494708178979,176.118,16.55811,12.06,771.605,11.279,657.4622,11.22,516.5289
1237667782827376706,166.8528,21.65709,12.64,1040.583,11.918,771.605,11.652,692.5208
1237667782834520080,184.3917,22.54015,15.931,47.56243,15.194,49.59333,13.847,0
1237668289617985724,149.19,16.8095,16.653,19.57867,16.009,22.89325,14.574,0
1237668494708178980,176.0964,16.55127,14.248,416.4931,13.63,268.745,13.517,277.7778
1237668494708179103,176.0555,16.46421,16.679,44.44444,14.822,0,15.563,36.28974
1237668494708244486,176.2253,16.60286,15.745,123.4568,14.27,0,15.141,41.09138
1237668494708506700,176.8115,16.56379,16.41,46.91312,15.059,0,14.662,0
1237667783898824756,161.1518,21.66637,16.308,33.02946,14.364,0,14.229,0
1237665355087675499,245.8962,45.74541,14.1,198.3733,13.335,198.3733,13.063,330.5785
1237668294449037386,174.6886,20.14002,15.055,102.0304,14.537,102.0304,14.275,129.1322
1237668294984925255,172.3137,20.58314,15.816,67.18624,15.618,31.56167,15.423,27.70083
1237668294985908340,174.6044,20.74048,16.266,41.62331,14.494,0,14.463,0
1237671123760709671,135.2635,11.0983,15.742,19.57867,13.847,0,13.523,0
1237668495244591169,174.9846,16.95501,14.064,657.4622,13.629,268.745,13.449,260.1457
1237668297668296825,187.6247,19.67304,14.122,85.73388,13.844,32.28306,13.542,58.27167
1237668298202087482,180.1369,20.07397,14.982,54.86968,14.328,45.65376,14.005,52.50998
1237671126979379364,178.7704,1.719791,15.831,26.5703,14.249,0,13.903,0
1237668495780741149,173.2737,17.35097,16.307,79.71938,15.224,0,14.958,0
1237668495781068935,174.0135,17.3597,14.857,152.4158,14.294,96.11687,14.04,129.1322
1237668299280416899,191.3776,20.81595,15.481,82.64463,14.947,66.09822,14.772,49.59333
1237668496850485305,163.623,17.34403,14.089,0,13.333,0,14.159,61.03515
1237668496310992914,157.4554,16.18091,15.503,138.4083,14.99,70.61648,14.881,68.30135
1237668496313745519,163.9352,17.00501,15.397,90.70295,14.771,42.71861,14.787,51.75716
1237668496850485382,163.6296,17.28475,15.041,71.81844,14.329,57.3921,13.995,96.11687
1237668310557327845,243.6045,10.51501,14.919,48.90215,14.178,18.57907,13.694,64
1237668330963992815,242.3365,8.763258,16.583,16.65973,14.634,0,14.489,0
1237668349206855736,208.2726,15.84455,13.339,540.8328,12.716,318.8775,12.305,594.884
1237671128593989759,182.0401,10.37888,13.512,43.85773,13.003,26.5703,12.393,51.02041
1237668350291935333,234.7154,12.08065,13.4,187.6525,12.596,287.2738,12.405,216.263
1237667485918036085,135.5659,16.83829,15.29,156.25,14.764,68.30135,14.515,84.16801
1237668590798110851,188.1507,18.02305,15.564,41.09138,15.253,25.5076,13.906,0
1237667915955896505,181.8274,20.37141,15.578,99.99999,14.907,84.16801,14.608,75.61436
1237669699440934939,322.4136,6.681751,14.481,90.70295,13.972,37.18025,12.45,0
1237669699440934943,322.4103,6.68346,13.299,0,12.489,0,13.254,58.27167
1237667911665975314,182.4447,25.02625,15.072,168.6625,14.574,102.0304,14.525,69.44444
1237671267108192327,190.5886,2.066624,15.475,53.27935,14.933,27.70083,14.637,34.19855
1237667735570677784,155.8141,20.17793,16.426,61.03515,15.932,31.21001,14.921,0
1237667781215125543,163.1327,19.79233,15.893,55.69168,15.289,36.28974,14.064,0
1237667537472716897,155.501,21.77375,15.792,145.159,15.269,84.16801,14.976,67.18624
1237667539084509189,157.9571,23.41741,15.794,135.2082,15.434,79.71938,15.116,60.09255
1237667254007300121,162.8042,28.00621,14.973,92.45562,14.4,46.27701,14.178,61.03515
1237667254007300182,162.8498,28.11203,13.668,192.9013,12.937,138.4083,12.744,229.5684
1237668288540049498,139.6693,13.82949,13.258,625,12.522,594.884,12.228,692.5208
1237668289080000630,146.6293,15.88632,15.793,62.98816,15.217,37.18025,13.881,0
1237671265498759194,191.9993,4.694894,16.032,26.5703,15.482,15.74704,13.998,0
1237670965389361250,148.89,16.43287,12.608,472.5898,11.749,540.8328,11.338,730.4601
1237670966465134608,153.4515,18.12623,16.019,57.3921,15.593,26.29849,14.997,41.62331
1237668624091447367,197.5515,16.93568,14.62,229.5684,13.988,135.2082,13.797,148.721
1237671122692276244,147.5277,12.81361,15.499,54.06574,13.979,0,13.783,0
1237667783353499779,141.2155,17.26157,16.143,70.61648,15.586,42.71861,14.519,0
1237671122692276403,147.6511,12.80907,16.746,27.99474,15.286,0,15.714,19.06905
1237668624620257434,178.3231,17.68197,16.527,62.98816,16.08,35.01278,15.688,34.19855
1237668624622551206,183.7073,17.71898,15.978,38.10395,15.065,33.02946,15.139,34.19855
1237668294982369408,166.0973,19.91712,15.451,70.61648,15,43.28255,14.838,54.06574
1237667783922942045,220.269,19.71351,16.694,42.16563,16.306,21.43347,15.406,0
1237668587043881098,169.8015,18.05934,16.215,55.69168,14.881,0,14.527,0
1237671123764379705,143.6422,13.00574,16.242,42.16563,15.47,39.5554,14.838,57.3921
1237668588650692644,188.2707,16.26553,12.478,236.6864,11.972,123.4568,11.605,192.9013
1237671939260481628,227.4447,57.00014,12.549,145.159,11.545,173.1302,11.203,452.6936
1237671939266642003,253.0152,63.1158,15.05,94.25959,14.626,51.75716,14.363,58.27167
1237667912735916157,172.8419,25.50106,16.627,22.46131,14.973,0,14.91,0
1237667322184073240,187.0231,26.67287,16.096,41.62331,15.299,43.85773,15.356,28.59676
1237671261741383921,146.6705,14.19777,16.316,69.44444,15.712,29.21841,15.596,21.43347
1237668591333802010,185.3034,18.38271,12.583,229.5684,11.853,222.7667,11.289,434.0278
1237668591334457468,186.9116,18.43457,16.632,25.5076,15.213,0,15.136,0
1237667730198626365,131.9237,13.41912,13.691,187.6525,13.117,145.159,13.01,173.1302
1237668591334523015,187.1138,18.41503,16.378,23.1139,14.57,0,14.672,0
1237667911662633076,174.0082,24.68811,16.762,32.65306,16.233,25.25189,15.578,32.65306
1237671266571976747,191.1065,3.525201,15.233,40.05768,14.897,17.5067,14.295,37.18025
1237667911663026195,175.0581,24.69707,12.192,594.884,11.295,730.4601,11,657.4622
1237668591335374931,189.1218,18.30049,16.105,38.57876,14.693,0,14.319,0
1237667911663091855,175.2474,24.77605,15.101,152.4158,14.46,94.25959,14.341,113.1734
1237671128057184307,182.5962,10.18855,16.105,21.63332,14.348,0,14.083,0
1237667911663157350,175.4137,24.8005,13.451,318.8775,12.801,229.5684,12.529,244.1406
1237668496317677650,173.3347,17.65744,16.097,123.4568,15.667,51.75716,14.887,0
1237668496317874243,173.7845,17.77947,15.302,0,14.516,0,15.365,25
1237668496318332965,174.9469,17.71226,12.551,1189.061,11.854,976.5624,11.667,692.5208
1237667911664009229,177.5247,24.92,13.989,287.2738,13.311,260.1457,13.318,177.7778
1237668496318398520,175.0708,17.7279,11.878,1890.359,11.403,566.8934,10.955,816.3265
1237671140407246923,176.753,-0.2942458,15.662,48.22532,15.015,31.91931,14.907,27.41153
1237667911664140303,177.7737,24.83849,15.624,177.7778,14.943,113.1734,14.632,81.16225
1237667911665647638,181.6507,25.11388,15.958,118.1474,15.357,79.71938,14.978,67.18624
1237668494171308123,176.1276,16.16338,15.687,115.6203,14.918,94.25959,14.825,70.61648
1237671267108913220,190.7347,3.676574,14.377,50.29928,13.769,29.21841,13.323,87.34387
1237674472755036203,175.0278,58.61309,13.976,0,13.281,0,13.966,76.94675
1237679167161761856,30.93584,14.70932,12.419,493.8271,12.056,187.6525,11.777,251.9526
1237671142020874254,179.0825,6.172696,16.188,37.63785,15.872,29.86055,14.61,0
1237679167161761909,30.95747,14.73917,12.28,516.5289,11.842,177.7778,11.532,251.9526
1237668623546384411,177.9788,16.84589,14.93,187.6525,14.152,126.2467,13.79,118.1474
1237679437739524213,32.24449,-7.766781,12.925,135.2082,12.239,74.31629,12.015,135.2082
1237670955180359821,30.81928,-9.890661,15.428,96.11687,14.778,74.31629,14.639,52.50998
1237668565027061858,186.2015,18.19512,14.632,132.1179,13.977,104.1233,13.89,96.11687
1237674650996834435,167.2324,0.4448042,14.363,182.615,13.745,113.1734,13.577,145.159
1237679437739655177,32.45546,-7.782397,15.075,92.45562,14.432,64,14.033,104.1233
1237671261205037158,147.9188,14.03816,15.394,0,15.567,31.91931,14.412,0
1237670955715919911,27.76671,-9.702294,12.877,0,12.66,160.2307,12.285,177.7778
1237679454921949328,352.4424,15.87749,16.613,41.62331,16.177,23.5649,15.241,25
1237668623546384464,178.0085,16.80969,13.864,260.1457,13.27,156.25,13.045,192.9013
1237671764785955070,190.6361,-1.350645,16.501,21.23638,14.849,0,14.791,0
1237670964313915418,145.1004,14.92263,11.995,342.9355,11.609,148.721,11.362,160.2307
1237671764786020385,190.7386,-1.229418,15.444,50.29928,14.657,56.53231,14.303,48.90215
1237668586507534343,170.9397,17.81866,14.008,0,13.994,75.61436,13.819,55.69168
1237667551417204742,160.5461,23.74674,13.103,566.8934,12.529,330.5785,12.146,566.8934
1237680298888593433,352.1161,22.42125,13.325,192.9013,12.636,148.721,12.111,330.5785
1237671769072795685,228.3716,58.50932,14.461,135.2082,13.628,141.7234,13.307,236.6864
1237668587046305895,175.6228,18.33254,15.822,44.44444,13.927,0,13.702,0
1237667321643401229,177.3282,26.1216,14.197,98.0296,13.635,50.29928,13.176,138.4083
