galexid,sdss_id,survey,nuvExposureTime,fuvExposureTime,ra,dec,nuv_mag,nuv_magErr,fuv_mag,fuv_magErr,e_bv
6374786089033405398,1237661851481669818,AIS,174,174,222.115514471189,38.8758646330856,18.9070701599121,0.0576566010713577,19.1276969909668,0.109511338174343,0.00986143853515387
6375489757147826988,1237662697041297487,AIS,287.1,187,246.85081904132,19.597093765855,18.9677658081055,0.065566323697567,22.1674957275391,0.401607185602188,0.0701802894473076
6374575024674704746,1237661362371625064,AIS,94.35,94.35,202.043079769895,46.6719499374775,15.7377004623413,0.0178430508822203,-999,-999,0.0343757756054401
6374575024676800086,1237661361835081734,AIS,94.35,94.35,202.906803716641,46.1512161432746,18.9548892974854,0.110075071454048,21.0104961395264,0.308021634817123,0.0152543727308512
6374750908956280770,1237662306188001327,AIS,207,207,210.65059258872,39.2202981587724,18.3737392425537,0.0397771820425987,18.3397102355957,0.0610942281782627,0.016929192468524
6374750910030023154,1237662193997381768,AIS,186,186,208.103959160281,39.5578022292362,19.2586460113525,0.0795184969902039,20.405330657959,0.200864642858505,0.0156688969582319
6374856462072547130,1237667323791736948,AIS,109,109,179.522568748486,27.877854288302,15.1002712249756,0.0131216095760465,15.4356079101563,0.0228398852050304,0.0247656535357237
6374856462072547752,1237667323791736878,AIS,109,109,179.463918857443,27.8689887904127,18.6924648284912,0.0724774077534676,19.6532344818115,0.158961996436119,0.0250241011381149
6374750914324987922,1237662226225234033,AIS,112,112,214.826728757411,37.0224330585359,17.471529006958,0.0369237698614597,17.6680221557617,0.0701696872711182,0.00813373364508152
6374750918619956799,1237662226223464493,AIS,186,186,209.987840721222,38.2007753327396,17.8288707733154,0.0346816852688789,18.5245113372803,0.0713237747550011,0.0091678062453866
6375102760192316047,1237655371429707919,AIS,125,125,156.989961403549,60.6340180727584,-999,-999,21.6185874938965,0.59005606174469,0.00732455728575587
6374856489987739795,1237667211603345434,AIS,176,96,185.48677499922,30.0743082693793,18.6030368804932,0.0595113970339298,-999,-999,0.0210218727588654
6374856489989833425,1237665440975224856,AIS,176,96,185.175195536252,29.3457908192819,17.0222797393799,0.0263452082872391,17.6636371612549,0.0744771286845207,0.0228006206452847
6375102764486230893,1237655369821388946,AIS,135,135,167.735432609671,61.3478118979816,17.4044723510742,0.0342324301600456,-999,-999,0.0148765025660396
6374821245488205285,1237667211059789866,AIS,198,112,168.016293002674,28.4865352992689,17.0403308868408,0.0219577737152576,17.5307350158691,0.0513632409274578,0.0205449871718884
6375102741939751118,1237654398616404059,AIS,154.05,154.05,170.229866586319,63.4049102587072,16.9265956878662,0.0239253509789705,17.1661014556885,0.0369919091463089,0.0109966434538364
6374961994787718184,1237659324414230579,AIS,215,215,236.190949823954,46.0788690293535,16.1945114135742,0.0152788460254669,16.663106918335,0.0292329005897045,0.0164852812886238
6374961994787718361,1237659329237221384,AIS,215,215,236.628161155369,45.9989568549322,16.1095752716064,0.0131092052906752,16.3172130584717,0.0261107981204987,0.0126042636111379
6375102751601331962,1237654398080123007,AIS,120,120,173.334007454346,63.2799919951335,15.29283618927,0.0122589142993093,-999,-999,0.0248745214194059
6374962036661551722,1237662300829384713,AIS,165,165,228.771462783052,42.2096633894381,17.3991508483887,0.0373342484235764,-999,-999,0.0254218596965075
